,upgrade the app
2790,good app but always asking rating
2791,always ask for rating please dondisturb
2792,best app arrange online classes
2793,tried quitefew times but always shows failed join meeting what shoulddo
2795,well isgreat app butconsider adding like option where you can choose who you want sendmessage like private messages that not the intire meeting can see the message for example you want sendmessage the boss teacher etc but you canbecause everyone will see the message but other than thatwould rate five star andrecommend other people great job google
2796,this isgood app butcanchange name canchat personally toparticipant after sometime the previous chats vanish and can more see them only the new chats are then showing option mute other participants our host also not getting the admit option after our participants reach also only participants mobile compared laptop why this discrimination otherwise good but these problems are not there zoom app
2797,itsgood app but thenthink that there should option for the host mute everyone cause its too disturbing when someone doesnmute but the best app for online classes its but then need more features liked but not much give stars bext timewant more features
2798,gave stars becausecannot rename may bedonknow plzz help orelse stars
2799,good app nice one
2800,exits from the meeting frequently even while rating
2801,good valo app
2802,need more useful features like zoom
2803,love this game
2804,very fantastic
2805,the google meet isvery good softwaream really having good meetings but you should add pictures sending the chat boxshould appreciate this work easy meet many people very easily using google meet
2806,itsgood app but the voice could not clearly
2807,simple functioning great experience
2808,itnice ita very useful app for schools conduct classes during this quarantine
2809,havebetter experience from this app least huge amount people attend ingroup meeting video call which suitable for any office and also forstudent hencerate this app but also some minor problems the sound echo which createproblem during meeting lastsay itjustbetter platform for meeting more than any other app from goggle play store thank you
2810,this app gets better when there isrecording feature video meeting thatwhygiving star when there recording facility thengive star
2811,showing
2812,this app good but sometimes not coming please check that
2813,novice app
2814,wasgood app but inbetween the class there are asking rate there app
2815,not that bad and good but should havedark mode because that will make people very happy people like put everything dark mode you should havedark mode
2816,naic
2817,very useful and helpful but there was dark mode for google meetwould give five star for will you bring dark mode next updation
2818,the learning app
2819,good performance
2820,has annoying bug that changes the audio output from the loudspeaker the calls speaker when you recievecall from phone another app and you need leave the meeting and joing again and looks really unethical
2821,please make share phonevideo along with its audio while presenting shares only video
2822,ita good app but wonlet createroom chat
2823,hope this stays available for those not usingsuite
2824,provided real time visit with our medical providers
2825,plsss add background change option some plain colors this application then become immortal beast other experiences are wonderful
2826,this very good video conferencing app the only problem that sometimes delays the sound other people please fix this problem thewill give this app stars
2827,was good
2828,please donask for ratings often
2829,need support more than full screen app
2830,good but the voice not always clear
2831,seems useful
2832,audio not clear good
2833,every time during class asks for rating the appused give full stars and then will make start class again bad andused miss some portions
2834,excellent audio and visual
2835,googleprivacyterms
2836,the very best video all sevice
2838,next timegetchance see the new one app from hangout video app
2839,awesome application awesome search engine team
2841,its effective
2843,canwait
2844,very wow
2845,nice work
2846,itcool
2847,igoing ready forchat
2848,amazing app
2849,video
2851,alright
2852,oooo what cantell you itthe best them all
2854,like its very nice and helpful
2855,very useful for professionals
2856,great for job better qualityhave already switched all meetings
2857,use meet
2858,ilearning butwill get support from you teach use this app
2859,very easy use also integrated withsuite offerings
2861,excellent application for online meeting
2864,really love this app great for bible study everyday andreally
2865,enjoy using
2866,needs vpn get connected some countries
2867,brilliantly implemented and dead simple use
2868,hangout very easy and important andlot people sorry that they having issues with sms and mms lots people going miss hangout itdifferent then others messenger itbetterm going miss very much
2870,veary good experience
2871,rafiqulislam babu
2873,best video conferencing app out there quick smooth intuitive
2874,stop complaining about the app itnot geared towards everyone you donneed dondownload stop downloading leave bad reviews while not understanding what itfor who itfor you idiots
2875,imilitary
2876,very clear
2877,itlovely
2878,amazing app works well for video conferences couldnbelieve you could also zoom people who are sharing their screen amazing job well done the team building this
2879,fantastic video app good video quality and easy learn
2881,canwait meat friend
2883,going ingood direction
2885,some one let
2886,just installed this like probably most people here leave completely useful reviewm willing bet most the star reviews doneven havesuite accounts and have never even used this google should probably scrub these useless reviews for people find out how the app rated for people who actually would use this ita shame that many people cluttered the reviews and purposely are trying bring itratings down just because they butthurt about the direction hangouts going yet not even used the app they are reviewing
2887,very good apphave been working onregular
2888,headphones option
2889,you donusesuite this app isnfor you and you know shut the hell
2890,this app superdid use this app that ism giving stars this app
2891,akina diosa
2892,great app for online classes can installed android
2894,this app not installing how cando please
2895,really good for meetings
2896,clear voice
2897,nice appuse this for online classes
2898,easy use using for online hoa meetings mins time more than zoom mins lots online useful training available
2899,nyc app for meeting
2900,nice apple but voice and video problem
2901,ranit kumar
2902,good quality
2903,bro super apploved itlot one think zoom wasteam givinga sure assurens zoom waste net but our google amazing applove itlot use during online class
2904,outstanding performance specially for online class
2905,nice app the
2906,never met before first timewill usehope will fine more than other app thanks
2909,ita good app easy use
2910,love this appget get along with friends whenm quarantine
2911,very good aap download now
2913,can add two email this app
2914,good app but sometimes audio issues
2915,best friends group
2917,love all meeting
2918,meetup
2919,best for online classes
2920,wonderful app better than most other apps for online meetings even useful for people who want teach far away relatives use phone
2921,its app very super but hackers are coming the meeting and theft the secret that
2922,kkkkk
2923,fabulous
2924,the best app for video conferencing
2925,nice and safe meeting app
2926,this isvery nice app for meeting
2927,nice meeting have finished with nice app
2928,best app for learning
2929,very effective
2930,well good
2931,nice meeting app
2932,its audio quality very good and all functions are very easy handle
2933,hindi
2934,very good communication system
2935,good results
2936,this app good
2937,bad very bad connection poor quality uninstall this app
2938,best vdo quality
2939,very essential
2941,nice video quality
2942,vale ghadie update aave che
2943,know that all things from google are one the best always provides free services and you arestudent teacher work office this app the better option for you select
2944,exceptional social media
2945,this favourite app
2946,much easier use than zoom
2947,not tried
2948,its just cool
2949,good lock down
2950,very useful app have all awesome features
2951,bluetooth headsets have not properly working for the past year unbelievable
2952,mobile samsung galaxy edge itbrand new audio not working onmeeting whenuse internet audio option buthear sound headphonesdont think there anything wrong with speakers because works good with other apps please help fixing
2954,itnot supported time last three day does not support mobile and also take more time connecting laptop and first two days its work but now not
2955,there option stop video webcam and see only screen the organiser due live streaming screen and video webcam the data consumption very high please provide option listener side stop the video webcam with out permission organiser
2956,not easy share this was not improvement
2957,internet audio calling not reliable too many issues
2958,mic not working poco
2959,simply doesnwork audio
2960,does not even start asus zenfone
2961,mic not working lenovo note
2962,donknow enough
2963,pls give back the old one this rubbish
2964,every month getting problem
2965,very disappointing experience this app continually crashed phone
2966,ifcannot use this get meetings withpassword itpretty much useless
2967,canget sessions broken help anyone know another one can use
2968,had downloaded the app but itrubbish says not supported bymobile device what the hell wasted data and time this could not get into class terrible
2969,still canshare webcam still donneed this app
2970,please says user authentication error anddonknow whycan
2971,schedulemeeting
2972,doesneven open
2973,waste app now needs lots improvement sound quality very poor
2974,has issues need back the old version
2975,doesnt work chromebooks
2976,sorry doesneven start crashes every single time
2977,itnot working asus zenphone
2978,someone the conference has video activated drains mobile data drastically how switch video streaming off while still seeing the presentation
2979,finding difficult create new says someone else using your address
2980,canschedulemeeting only join
2981,wheneverjoinmeeting sound the phone goes off meanscaneven listen tosong why this app misbehaves with everything please look into the issuehave use another phone everytime for meetingam nougat now edit hiam not trying listen song while the gotomeeting sessionam saying that after joining and then disconnecting the gotomeeting sessionam not able speak listen any sound from phone even the cellular callam not able hear anything thatwhat concern ishave restart device and thencan place the listen anything phone normally all started whentried use sound recorder built phone application duringgotomeeting session after this incident gotomeeting misbehaves everytimejoinsession through app please suggestsolution
2982,seems this does not havefree version justfree trial uninstalling
2983,but have not been able install the app
2985,wouldnlet into the meeting the support team kept giving wrong info when called for help
2986,please give option use the old app this new app bad
2987,opening the app closes abruptly
2988,company conf call
2989,this app good really
2990,lack video very disappointing major failing the ability show presentations from android devices for suchmajor corporation this suchlet down from the windows app
2991,will allow you join meetings and part them which nice but there point logging into your account actually hostmeeting you not have the option remote control other atteendes that are joining fromwindows computer
2992,slows down the phone not working over wifi reconnecting again and again the same wifi its working fine
2993,others get echo their voice whenlogin using phonehave
2994,stay mute
2995,this one harder see dialoge and screen share the same time
2996,whenconnect phone instead internet can hear alsowas oncall and the waslot static noise over all the nice just wish the app worked like the old one
2997,the old app worked fine soon asinstalled this new version does nothing but crash and give errors very frustrating
2998,hadbusiness call using chromebook but upon sharing screen onlyblack screen displayed way get working
2999,audio does not work withpixel unless speaker mode bluetooth cant use headphones
3000,candownload smartphone
3001,this new version has audio onnew samsung phone back old version please audio still not working unlessuseheadset
3002,even the rudimentary video the previous version now gone the world users android not having video function inmeeting app pathetic and absurd
3003,the new app breaks the ability dial the conference line voip only removes the ability use phone camera for video conferencing
3004,havenew phone and this app runs terribly the presenter screen unreadable due scrambling and now whenwant mute and unmute hangs the point wherecanuse itve reinstalled the app avail this app needs serious work
3005,not able open all crashing every time the time opening
3006,please take this off the play store this app just takes space your phone and thatall does
3007,not working stuck opening audiodidnexpect these types apps from citrix
3008,work the trial and then didnt really messed our first oversight meeting
3009,fix password function please
3010,never worked times downloaded and updated times reported use
3011,microphone doesnwork pixel
3012,unable record the meetings asjoiner please provide the feature for mobile device asmeeting joiner
3013,had depended upon this app forcritical meeting the but audio did not work during the meeting lost critical business because this old app was much better than this
3014,app did not function all sound mic function nothing
3015,whileenjoy the new calendar interface trying hostmeeting was far easier the previous version
3016,rubbish appsam hearing from the other people butcancontribute into the conversation
3017,what the purpose app that tells you you can only use viaweb browser the computerguess webex zoom thanks for nothing citrix
3018,not worthy beta
3019,upgraded this latest version and wishhadndoest show all scheduled meetings doesndial conf call numbers half the time hangs constantly did gtm even test this before they released
3020,wondownloadneed this app for work and simply wondownloadtried all the trouble shooting stepsconsider myself tech savvy but donwork
3021,unable use this app crashes launch
3022,pls add camera function
3023,unable sign google moto
3024,choice between speaker and ear piece hidden settings menu clicks screen doesnget turned off whenput the phone ear
3025,doesnwork zte axon
3026,matter howtry and fix phone permissions there way connectvideo call
3027,the old gotomeeting worked great was always reliable then one day they made stop working and forced install this version this one doesnlist meetings all thuscanconnect whendonhave meeting numbers written down ainbroke donfix
3028,this android app has serious issues with voice connectivity the past couple weeks you are logged but voice and more difficult when connect via bluetooth has made immobile andnow need take all the meetings from laptop
3029,have tried install but canwhy thati donknow please help fix bug
3030,downloaded the app clicked the test connection link and said was not downloadable when gave after minutes waste time
3031,battery drainer samsung galaxy
3032,cant share webcam and after the recent updatecant sign anymore
3033,how thisbetter app than the old one seems half baked
3034,after trying download for hourshad give
3035,could not connect the video when using the app android phone was just another phone call useless
3036,the old app worked great loved with this onecanconnect our regular weekly meeting all just spins and never connects itworthless bring back the old one
3037,candownload the app
3038,the old version worked fine this one horriblehave not been able connect all
3039,installed this version able use the guest user video feature android but even the old features such being able edit your name and other settings are missing solook forward using this withteam the field once this fully cooked
3040,video works the ipad version idea why canwork here when skype and google hangouts have problem
3041,application crashing soon after trying open
3042,tried installing this app and beteween got stopped whentried agai its not working
3043,does not work all
3044,wonlet join the meeting without downloading the app
3045,when usingbluetooth headset muting and unmuting oneself several times will cause oneaudio longer transmit properly and thus one else can hear them
3046,its hard download
3047,worst apphave ever usedwould have given star
3048,couldndo interview because itnot compatible with android
3049,app crashes without any reason when connect predefined meeting
3050,bridge this disturbing and not allowing connect
3051,missed halfwebinar app would not launch restart uninstall reinstall makes difference soon launch get unfortunately stopped working messageyear ago worked sorry out
3052,after installation force close message was shown asus zenfone
3053,oooo
3054,very bad apps itneed high internet speed
3055,unable record during class
3056,maha bakwas
3057,sorry say not easy enter
3058,the worlds worst app thiswould not happy rate this app but its necessary sorated itsuggest dont take this bad app not only bad but also consumes very much data
3059,its terrible
3060,failed work
3061,the worst app for meetings and webinarshad classes the app where each the class had ended midway due persistent screen lag and voice cracking
3062,canget visual and see everyone
3063,frustrating
3064,was really hectic install this app
3065,pathetic
3066,doesnt connect meetings evensit good network says check your network becomrs difficult for listen online classes school hsppens like this
3067,itharmful for people and video quality worst this app asking pay money for meeting
3068,poor network this app
3069,lock down chalu hai yar shanti sone bhi nahi dete baje chalu kar dete hai band karo app
3070,unable download this app phone all other apps are downloading except this for the same reasonam unable attend certain webinars
3071,rubbish
3072,not clear audio
3073,this app horrendousm surprised doesnviolate googletos doesnlet you adjust volume also doesnlet you use headphones you have volume options speakerphone and not speakerphone the controls are completely incoherent this app truly astounding piece garbage
3074,dont work
3075,bad app totally dont recommend
3076,terrible audio reception
3077,this okay kind app but there are lot glitches audio quality good
3078,worse app
3080,facing lot networking issues problems
3081,couldnhear anything
3082,not like this app
3083,awaz bahut cut hoti meetingdoran kisi awaz samajh main nhi aati
3084,worst experience always third class
3085,connect classes easily butface some serious issue this application has alot glitches like sometimescanuse mic and app developer didnwork for new users like how use and will comfortable and convenient for are use some voice and image erroralso face and asam new user donknow how use camera you guys madevery good app but plz solve this issue soon possible
3086,please fix following issues soon possible mic turn automatically for secs after joiningmeeting sometime get stuck reconnecting there isglitch which cannot hear anyone and neither open our mic and video only can see the video conference without audio
3087,its coming meeting full when there are only members please repair itkind request
3088,ifm onvideo conference with several peoplecan only see one person attime and thatthe person who speakingdo not have the option view all the participants thumbnails the same timeusesamsung tablet and gtm does not have full functionality this not issue with zoomapp
3089,requires too much bug fixing and new features make more usefull
3091,takeslot internet screen sharingam unable attend other classes
3092,the absolute worst experience life smh
3093,unable download
3094,worst app cant switch between wifi and mobile data its show reconnecting you have stable mobile data also really bad experience but have stick due clg
3095,very bad audio and video hardly can hear anything
3096,the sound was not clear canbe music background cut off frequently
3097,wassuperb app connected our meeting
3098,waste call app
3099,laptop its not working property mobile its not laptop
3100,video not clear have used many types check the video
3101,keeping the mic always and muting within the application not only unsecure unrelieable but causes wireless headsets drain faster and makes the overall conversation barely hearable you have feedback from mic headset while the mic enabled makes any environment unusable even you are justlistetener
3102,was the most useful thing for online classes during lockdown itimpressivesujest you download this app for online meetings
3103,very annoying always disconnected
3105,whatpos app dosenwork donwaste your time just makein person appointment with your doctor ifcould give them less then one would
3106,chinise appdonlike
3107,ithang most the time not user friendly
3108,simply means that voice getting blocked error has come meeting this notgood for online classes very poor condition solve
3109,takes money hostmeeting
3110,evencansign account wheneverclick sign account still loading and shows check internet connection and try again
3111,not able share sounds for videos
3112,video wont work with stylo tried several things zoom works but not this app
3113,worst all can not even sign asnew member there onlysign option
3114,nothing was working
3115,not good much trouble sign inuse valid emailid but they says its unvalidmiss meeting
3116,report cheyandi mama
3117,consuming more data battery
3118,doesnt let sign deleting the app
3119,this not free application and costly
3120,couldnwant give star this app
3121,this app does not open
3122,worst experience
3123,not opening the meetings android mobile that link only work laptopam very worried about
3124,sai charan yadav
3125,very badam giving password and email address but its showing wrong should not install this app very bad
3126,poor all
3127,ita worst app connectivity even though havinggood internet network made miss the classes
3128,worst applicationhave ever used
3129,not workinghave tried many times
3130,too bad
3131,audio not detected
3132,haslot audio problem
3133,had download forlecture then never used again
3134,consumes lots data
3135,itnot stable enough yetkeep losing audio the app mutes butcanunmute have drop and dial again doesnshow muted this case alsohavenbeen able launch hostrecurring meeting from have use the version for that and recently wound with two connections the same meeting one from each app causing terrible audio wraparoundalso find this less intuitive for example findlist active attendees you have click the messaging icon
3136,the old app version was betteram unable use the speaker mode the audio buggy people cant usually hear when mute off not friendly before and just seems completely untested
3137,computer audio horrible onpixel people canmake out whatsay must use phone audio also this app horrible when the data connection switches between cell and wifi canever reconnect even though the device now online again withdifferent connection must stay the same connection for the whole meeting
3138,wonder whycanvideo chat device with this app
3139,pplnt able hear neither data wifi
3140,sound quality not good also sound increase decrease button not working
3141,have audio issues although devs claim fix audio with the update the app far from polished needs more improvement
3142,hiam unable login another meeting please try solve the issue
3143,didnt launchclicked the link outlook and took play store for installation when the app was already installedmissed the meeting withclient tried check this thing works using the get ready link that comes part invites openedbrowser window that saidshould android butam already itsgreat app for pcs buthave clues how make work mobiles webex waslot simpler sadly the new place they only use gtm
3144,audio doesnwork galaxy ios app thousand times better
3145,recently started drain battery background
3146,the description says you can use any android tablet doesnwork samsung galaxykeep getting unfortunately gtm has stoppeduninstalled tried clearing space tablet then reinstalled same error sotried the web version the same error happeneduse laptop all the time and itgreat but clearly doesnwork everywhere
3147,sound phone number provided receive audio did not work
3148,for some strange reasoncanseem get the app work properly use work fine now restricts from being viewed heard
3149,hate thatm forced install the app phone even though installing may provide additional features theose features are only valuable you actually need then you onlyviewerstand original statement its terrible force the installationimmediately uninstalled the application after use since provides absolutely benefit rating stays the same
3150,nice job
3151,bluetooth headset bose sound link nexus gives out only chatter and huge noise canhear anything the meetings however other apps device like music apps and youtube behave well
3152,the nominal case but whenreceivedcall while inmeeting the app self destructed lost bluetooth connection car couldnuse speaker phone player started completely messed meeting plus candelegate presenter
3153,whensession progresscanaccess outlook socanreference any mail document inbox while the app running the scheduled meeting also not shown the appneed click the link outlook calendar access the meetings even whenm the organizer
3154,takes much more change presenter add someone organizer whenadd someone organizer boots out every time
3155,unable schedule meetings from the phone app audio never clear from the mobile app though speeds exceed mbps hence have dial all the time beenlong term business customer thinking moving out something else now
3156,takingvery long time down load
3157,didnmute after connecting the meeting wanted ask email address butcouldncomplete because the meeting started and echoed everything the room was unpleasant the others listening the phone call soturned off the phone meanwhilewill default phone call because isnresponsive this regard ignored the system volume
3158,ifam connected any meeting and simultaneously for any reason ifminimize the app meeting paused untilresume gotomeeting application
3159,china users candownload not existing our app store
3160,great when works mainly when connected car bluetooth but whendisconnect audio flip flops between speaker and phone mode crazily whenm not even touching unusable standalone the feedback issue whendisconnect still happening unusable well obviouslyhave keep using others ita truly horrible experience today droppedstar since you seem not only not understand the issue but still ongoing
3161,cnt download anything this play store
3162,like the previous version always work now ifsign inam muted why
3163,very unstable connection and bad quality general needs lot work
3164,canjoin meetings with passwords useless
3165,video call option not available
3166,unable connect bluetooth headphones mobile version
3167,considering how important this tool life asdevelopment manager dispersed teamsfind incredibly frustrating that gtm hasnimproved this appgrab bag issues bluetooth connections donwork with microphones multitasking issue that the app launches assub application thus blocking access whatever app launched this means that you canlook your mail while participating inmeeting launched from email the app candefault internet audio canstart meetings
3168,cansee and blurred
3169,onceturned the speaker feature would not turn off really poor design forshipped product
3170,was supposed havevideoconference interview this morning only glitch was thatdid not send any video fully received the organizers video did not have any options buttons for video side
3171,you cansign into your profile start host the design much nicer but the functionality just not there honest learn from the zoom app
3172,the webcam feature not working phone pro showswebcam preview but then when you click share does nothing and closes the webcam preview calling support did not help any suggestions
3173,poor experience with the app could not connect audio despite being onvery good network the app hasdefault setting speaker which doesnmake any sense when the meeting starts directly starts speaker modehadhard time connecting bluetooth listen the meetings overallreal let down
3174,previouslyused join meeting through meizu note mobile nowam using vivo nowam not able join meeting its showserror message this meeting not supported mobile please join through computer please help join
3175,app starts randomly using battery even when not use spyware uninstalled join better and doesndo that stuff
3176,have regularly meetings with password protection this new version tells use desktop clients useless also the audio controls are hidden submenu accessible through just small icon corner usability hit new version step back
3177,far too long what happened phone option only
3178,the app seriously short optionsdonwant webcamswant
3179,presentationscanturn off webcams
3180,disappointing that the app doesnsupport meeting passwordshave launch the old version which alerts itoutdated just join password protected meetings also did not offer remember recurring meetings unlike the previous edition which inconvenient
3181,have option personalise the self information like older version
3182,whenreceivedtelephonic call during the webinar microphone the app
3183,was not turned off automatically turned out embarrassing
3184,situation
3185,many features are missing from older one most notably remembering reoccurring meetings calendar integration isnice idea but not all have work email calendars set our personal phones seems more likeforced public beta thannew version the app
3186,very buggy application using with samsung galaxy like other usersexperienced lots issues when google play upgraded the new app but did not remove overwrite the existing version the app also calls frequently fail when dialed from inside the app and app randomly fails during calls disconnecting the phone call
3187,two meetings and can hardly hear with speaker
3188,cut you off when somebody calls and completely messes the call should have the ability disable incoming calling somehow suppress callers from being able completely interruptmeeting
3189,wasnable log with main email address and was toldhave use another email addressused when first signing anoying
3190,ita good app for audio conversation but this app doesnsupport phone symphony there any solution for what cando
3191,blocks the speaker even the meeting finished disconnects someone calls during the meetingwishwasnforced use that app
3192,meeting not able conducted the phone and asking for computer
3193,option for video chat galaxy edge
3194,canget webcam pull whenam inmeeting what dodo because doesneven give the option
3195,brand new edge whenevertry joinmeeting hangs with the joining spinner
3196,the old app everything worked fine now with the new onecan longer use internet audio via speaker phone only works call that defeats itpurpose for aswork area with very little cell reception
3197,doesnwork
3198,recording option seen for attendees
3199,surprised that this has such high ratings considering the app absolute garbage the audio unreliable that just ask the meeting attendees call via traditional phone the video buggy and slow audio not compatible with plantronics headset compared other similar apps like webex ring this isshameful app
3200,zero
3201,audio disconnect reconnect frequently
3202,too much time down load
3203,after last update application crashes randomly anytime and exits meeting automatically ifam organizerneed make someone else organizer else everyone will get exited from meeting bad impression client calls and meetings
3204,keeps cutting out posts names people speaking incorrectly
3205,facing connection issues from past two weeks not able connect with calls
3206,everyone was seeing each other and instructions everyone was working with only halfscreen
3207,not given free pls give free
3208,canget the free trial
3209,anyone know how get tiles all callers android keeps flipping back and forth each individual caller very difficult deal with makes dizzy works fine for iphone and ipad attendees and works but bad experience samsung android any suggestions
3210,trying open the app and type inmeeting starting with aftertyped would put meet before the number and added extra the moretyped the more numbers where are duplicated however ifrun the button the website and then opens the app goes the correct meeting but doesnwork when you type the meeting number directly into the app
3211,video quality horrible not realtime clear audiove enough internet connection
3212,with the android app you only can see who talking and one else the host can mute you but cannot unmute you
3214,took over minutes download onto phone was quicker would have given more stars
3215,only shows the current speaker constantly switches the video from one another this very annoying and makes useless there arefew people havingconversation until this fixed ita poor app
3216,cumbersome edit the app was cumbersome very weighted slow overintensive quality was deff lacking just not for
3217,when typing into the search bar the auto fill would double everythingtyped rendering useless
3218,you can only see webcam one person
3219,good iteasy contact team meeting and conversation
3220,very slow app
3221,for how many meetings free trials are available
3222,even after downloading this appcant able open the app
3223,trying put information email not accepted trato poner informaci nno aceptan sorry
3224,didnallow see attendees video mode all once would just keep jumping between people and made dizzy
3225,plz mention how participants can participate this app
3226,doesnhavegood quality video and audio
3227,after the update nowalways getlot bugs like the audio comes the same time when someone speak but the video come after min and some time audio not coming saying connecting audio only video play all the things are good before but nowfacing lot problemswant roll back provide this option thnak
3228,meet now feature got stuck join had force stop actually join camera didnturn cansee multiple people once canceled subscription
3229,how many can participate meeting
3230,how many people can join once
3231,one attendeee chat with another attendeee shown organizer wrong change thanx for reaching prblm
3232,ita good app but consumeslot bandwidth even for audio meetings its manadatory have high speed internet otherwise app keeps disconnected
3233,have android and during the meeting flips back and fourth from everyone trying talk itannoying good thingdonhave epilepsy apparently the iphone version doesndo that and has seperate boxes for each person the android version does have that option please let know how change
3234,awwful minutes download
3235,very interesting and meaningful
3236,okk
3237,not user friendly transparent other platforms updatehave used zoom and life thatcould see clearly who was logged and how put all pictures screen with thiscould not people could see mecouldnsee them even though they had camera very disconcerting
3238,two out four kept having connection issues either the camera wouldnwork the mic wouldn
3240,screen kept switching between participants very distracting
3241,terribly poor setup
3242,response rate too low previous version was wuite good star for
3243,lagging and freezes and keep someone update and goes tohundred now not happy
3244,very poor quality
3245,audio asking for permission samsung handset please help
3246,meeting needed butdonot like online class
3247,switching between videos very erratic not smooth
3248,audio was faulty
3249,difficult login
3250,voice problem
3251,audio issues
3252,free app install any purchase inform
3253,useful and informative
3254,canconnect through web
3255,audio gud but couldnkeep with display screen which results mis gap communication
3256,why there caller showed meeting
3257,the audio was and out might connection issues the video seemed eratic transitions not smooth the management interface does not seem intuitive and functional zoomm disappointed
3258,company uses this app for meetings and other remote sessions works well for most thingssimple meeting face face over the phone with many the company this does very well the problem the inability playvideo with sound duringmeeting many instances this has been needed but not possible with meeting
3259,new trying learn the system
3260,picture jumps around gallery view option lots static for apparent reason
3261,gritty kept losing signal
3262,our school meeting held this app its good but again and again says that trying connect even full range sometimes mic stops working and the qualityof video not good all
3263,app interface very good but facing audio disconnection issues every mins causing interruption the course lectures there internet problem the network good also uninstalled and installed the app twice still the problem persists request please look into the matter thank you
3264,not free
3265,cansee all them one screen and video quality lowsendmail your feedback mail pls check
3266,good app this tough period but video quality not good
3267,somd what
3268,connection error first time
3269,not connecting the scheduled meeting
3270,cant download error messge keep popping
3271,canlike this app becauz showing that calendar syn off sorry but this app not working properlyam very irritated about this app
3272,canuse bluetooth headset duringmeeting
3273,dont know yet refused downloading
3274,would love asguest change background our group paying for and othershave used let you
3275,everyone listenreally didnlike this app attall because confusing app you agree please yes and not then sure your wish guys
3276,dont luke bing phone orcomputer this long
3277,jumpy would randomly repeat number entries camera did not share properly
3278,donshare vedio
3279,couldnattendmeeting was telling network error
3280,takesheavy toll the hardware phone with ram barely enough make work for hour before overheats not recommended unless you owntop notch phone tablet better stick the version
3281,very poor during online
3282,nice apl
3283,hoping for better luck this week doesnt seem very organized
3284,cannot found why
3285,how sign for hostmeeting for free there provision for new user sign
3286,audio horrible problematic
3287,good for only days then starts having audio visual problems and sometimes automatically closes the meeting
3288,lost chat option update february
3289,inconsistent unable share camera presenter and attendee unable share camera have used twice before same attendee with camera fine whatup
3291,not responding for
3292,experience
3293,costly
3294,very worst very slow cansend any ppt very tough for
3295,still gallery view android
3296,can not connected
3297,while connecting meetingam always facing problem likecannot see the screen some reconnecting message displaying evenam connected the meeting please help out with this
3298,bad login struggle
3299,canmake see everyone the same timecan see only the person speaking the moment
3300,couldnt find option send individual idto participants pls give reply
3301,first kept installing mode then whenagain looked says that install again thenagain kept installing mode and the same thing happened again please look into the matter and please reply fast
3302,its not making new account and always show that the password email invalid even when are using correct password and email socannot rate untill unlesswill use
3303,love this app but what annoys sooooo much thatcant look everyone the same time android also flashs and hurts eyeswould recommend put option where you can see everyone the same time pls fix this fast
3304,alot disconnection audio
3305,today the internet was consumed like anything took just hour everyday takes and today took whole internet please resolve the issue
3306,always showing joining joining joining
3307,work from the carlot and whenevertry use bluetooth car stereo with this app everything gos silent all other cases work fine seems likecommon scenario for most business people
3308,can better audio quality improved
3309,wasfantastic experience meet with friends through this app
3310,india language
3311,camera supportcould see others but one could see metried note and edge
3312,inot sure
3313,new interface less user friendlyuse outlook for android and does not link find calendar goto meetings major pia
3314,pixel user here canspeak unlessm connected tobluetooth headset tried headphones speaker etc never worked only bluetooth worked same happened with pixel
3315,support for password like the old app otherwise ita nicer interface
3316,the new great but itconnection identity management crapm fine jump intomeetingm invited butcanhostmeeting more often than not because doesnrecognise signed inmight based wherem located you need widen the geographical locations your directory
3317,nice audio quality video with interruptions
3318,far the best web conference app with one exception uae audio not working most the times either you findsolution enablelocal call number from uae
3319,con
3320,mohammed yusuf from africa nigeria for attending meeting discuss msc epidemiology
3321,very operate
3322,whenjoinmeeting defaults speaker which fine but onlybarely audible gargling sound comes outhave quick switch the speaker off and thencan hear the meeting but not being able use the speaker phone really annoyingm using
3323,line meetings
3324,notfinished yet
3325,disconnects whengo other apps unlike the older versionscant read skype messages while meeting ongoing not sure just with the note but all all does not allow work phone efficiently anymore
3326,trial
3327,cherian thomas this type line marketing training good for when the real buyer market the realitor get advantage
3328,the app cantransfer sound via bluetooth just doesnswich the channel when somebody phone you goes muted but doesnunmute back finding how turn the sound becameproblem
3329,iwill see
3330,app keep crashing when try share screen
3331,seems remember meeting ids now the switch for mute when the meeting starts confusing have guess whether iton not video during the meeting glitchy different feeds pop and out sporadically with ugly glitches between
3332,could not get the audio play through headphones only through the phone speaker not ideal
3333,will view mode with speaker the but the mic set phone one can hear and they saym way too soft you need have mic pick like speakerphone mode when you viewing the screen and the speaker obviously frustrating glitch
3334,there aresound issue this app the audience cannot hear voice can you solve this issue
3335,good ease access but interaction end ita bit hard rate
3336,please putdouble tap option the screen through which can forward the recorded videos seconds whenever want just like youtube
3337,trying install this app computer but will not let notices other devices but not this one any suggestions
3338,this app doesnallow take calls through bluetooth headphones apart from that ita great app use please add the option well could able talk through our bluetooth headphones thanks
3339,you keep saying update and has been updated love laptop and stars butproblem android
3340,jobs
3341,home
3342,yesterdayhave again installed this app now again facing this problem onam facingproblem waiting for reply you will not reply few days thenwill again change the stars because you have notgood customer serviceam facing problem after installing huawei mate lite that many times data network becomes unusable untill restarthave uninstalled and every thingbbecome fine please solve this problem
3343,could not find any option record the meeting using this app tabletcould record laptop
3344,better interface that the old app would prefer automatically used phone instead internet when you arenconnected the internet well see how citrix continues update the app but for now ita step from the old version
