,upgrade the app
296,just everyone knows these geniuses have never used this app they set
297,the default audio and video running
298,tried download the appwanted joinmeeting but kept requesting
299,cant hear the sound
300,often getting disconnected
301,sux
302,how canchange device
303,ithas been working okay desktop until recently wheneverset formeeting when its started unable use since whenclick open hides the task bar the edge the computer screen what could the problemneed help because therealot that missing
304,how download
305,android user here and andcannot connect the audio all althoughhave given every permission bad app
306,just candownload loads and loads
307,problem installation
308,afterinstalled the appcouldnfind icon open
309,says app will added device soon when and where
310,the momentwouldnrecommend this anyone please puttutorial elderly people can understand itcant even tell whetherm the right zoom
311,canget this downloaded computer need some help please and will happy change rating
312,too many steps get this installed
313,cant install laptop with wndows automatically installing android phone cant fix the prob pls help
314,wont let daughter get she need for school she wants call her friends
315,wagner mendes tive grande dificuldade abrirlinkmesmo caiu algumas vezessisma ficar ligado meu telefone quando preciso que fique ligado computador gostaria poder ter link para liga direta pois parece que sempre tenho caminhoser percorrido
316,does not work for apple
317,can you please tell how uninstall zoom asinstalled incorrectly and now need start again thankyou
318,installed zoom samsung android phone which seemed work fine then tried install zoom lap top wel but the download kept telling was already installed asssuming phone wisdomdeleted from phone then attempted install again laptop nice try the download window still tells downloaded already whichknow its not how candownload laptop only download
319,want install this app laptop but failed please guide
320,ift would workedd tell you
321,zoom not working liky before
322,lag much
323,just slow for
324,cannot get into the meeting
325,que des probl mes son sur portable sur ordi
326,why only minutes but whatever the schedule time should given the client for meeting min not enough for meeting
327,not able sign asam unable set password login
328,taxiways
329,takes your batture and does not insatll work this app work better and not hardwould use more ofthen
330,itbe great come with instructions while new meetings and just installation occurs
331,need have more time let people interact with their group meetings more
332,frequently getting stuck
333,dont know yet
334,very poor directions
335,unable share while meeting
336,unable download the app
337,hello sir
338,ibarely getting into this app
339,good for
340,sound was terrible
341,does not always work perfectly
342,canunderstand the process
343,zoom share feature lacking the interchangeable sharemust exit one before using the other share options zoom should allow switching between share features also whenshareyoutube video zoom mobile only display the link this bad please fix this the shared youtube thumbnail displayed this the industry standard screen capture whiteboard cannot import images pdf files cannot share files dynamic share switching
344,finding hard download app
345,way test change audio settings
346,taking hours load
347,what the error code
348,iunable download
349,the android version this app terrible when creatingmeeting not possible sync your outlook calendarhave seen screenshots and articles showing that you can ios app whencreatemeeting doesnadd outlook calendar have that manually and thatannoying the video quality good the audio quality but the connectivity third party apps bad please fix this make par with your ios app
350,meeting was freezing and coming and out
351,app keeps crashing closes suddenly repeatedly throughout minute call without notice this happens while hooked ultra strong wifi this does not happen the web version just the mobile app please contact with any advisement
352,for some reason the app keeps kicking off the callve been for the last couple days like every couple minutes issues whenaccess the same call ondifferent device though
